frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
430,0.274,302.744,320.0,0.419,0.052,28.466
431,0.4,275.272,320.0,0.269,0.055,30.689
432,0.451,233.16,320.0,0.119,0.058,31.47
433,0.469,233.16,320.0,-0.031,0.059,32.774
434,0.475,233.16,320.0,-0.088,0.058,33.376
435,0.628,245.4,320.0,-0.238,0.056,33.131
436,0.675,235.409,320.0,-0.388,0.053,32.358
437,0.594,248.183,320.0,-0.238,0.056,30.482
438,0.33,106.554,159.211,-0.088,0.058,28.396
439,0.473,260.462,320.0,-0.238,0.056,27.211
440,0.081,155.466,159.492,-0.088,0.058,26.1
441,0.146,312.038,320.0,-0.017,0.06,26.6
442,0.123,313.542,320.0,0.016,0.06,27.468
443,0.132,312.038,320.0,-0.001,0.06,27.946
444,0.11,314.515,320.0,-0.0,0.06,27.343
445,0.076,314.329,320.0,0.046,0.059,27.443
446,0.063,316.06,320.0,0.0,0.06,28.094
447,0.031,158.799,160.554,0.0,0.06,28.095
448,0.064,316.06,320.0,0.0,0.06,28.185
449,0.064,316.06,320.0,0.0,0.06,28.258
450,0.068,315.615,320.0,0.0,0.06,28.343
451,0.068,315.615,320.0,0.0,0.06,28.407
452,0.068,315.615,320.0,0.0,0.06,28.497
453,0.068,315.615,320.0,0.0,0.06,28.552
454,0.068,315.615,320.0,0.0,0.06,28.606
455,0.067,315.325,320.0,0.0,0.06,28.685
456,0.08,313.937,320.0,0.0,0.06,28.777
457,0.084,313.937,320.0,-0.0,0.06,28.819
458,0.085,313.937,320.0,-0.001,0.06,28.908
459,0.086,313.937,320.0,-0.001,0.06,28.924
460,0.099,313.333,320.0,-0.0,0.06,29.006
461,0.102,312.918,320.0,-0.003,0.06,29.068
462,0.105,312.918,320.0,-0.003,0.06,29.097
463,0.106,312.918,320.0,-0.001,0.06,29.13
464,0.106,312.918,320.0,-0.001,0.06,29.155
465,0.1,313.989,320.0,-0.0,0.06,29.205
466,0.058,317.566,320.0,0.01,0.06,29.278
467,0.05,317.566,320.0,0.0,0.06,29.412
468,0.048,317.566,320.0,0.0,0.06,29.522
469,0.047,317.566,320.0,0.0,0.06,29.558
470,0.024,317.972,320.0,0.0,0.06,29.636
471,0.034,317.369,320.0,0.0,0.06,29.692
472,0.034,317.369,320.0,0.0,0.06,29.759
473,0.034,317.369,320.0,0.0,0.06,29.804
474,0.034,317.369,320.0,0.0,0.06,29.875
475,0.031,317.973,320.0,0.0,0.06,29.917
476,0.031,317.973,320.0,0.0,0.06,29.994
477,0.031,317.973,320.0,0.0,0.06,30.031
478,0.031,317.973,320.0,0.0,0.06,30.105
479,0.031,317.973,320.0,0.0,0.06,30.129
480,0.031,317.973,320.0,0.0,0.06,30.19
481,0.031,317.973,320.0,0.0,0.06,30.265
482,0.031,317.973,320.0,0.0,0.06,30.279
483,0.031,317.973,320.0,0.0,0.06,30.374
484,0.031,317.973,320.0,0.0,0.06,30.4
485,-0.206,373.496,320.0,0.15,0.057,30.441
486,-0.225,217.535,162.161,0.016,0.06,30.964
487,-0.526,512.509,320.0,0.166,0.057,31.529
488,-0.225,217.535,162.161,0.016,0.06,32.22
489,-0.523,407.302,320.0,0.166,0.057,32.996
490,0.012,143.436,160.11,0.016,0.06,33.528
491,0.088,293.353,320.0,-0.035,0.059,34.725
492,0.082,297.365,320.0,0.01,0.06,34.737
493,0.063,299.773,320.0,0.024,0.06,34.697
494,0.046,301.219,320.0,0.0,0.06,34.895
495,0.254,248.033,320.0,-0.15,0.057,35.079
496,0.322,248.559,320.0,-0.067,0.059,34.761
497,0.267,248.874,320.0,0.053,0.059,33.999
498,0.247,249.063,320.0,-0.006,0.06,33.886
499,0.239,249.177,320.0,-0.006,0.06,34.094
500,0.229,249.369,320.0,0.042,0.059,34.088
501,0.308,249.41,320.0,-0.05,0.059,34.276
502,0.255,249.435,320.0,0.038,0.059,34.367
503,0.237,249.45,320.0,-0.006,0.06,34.328
504,0.23,249.459,320.0,-0.006,0.06,34.532
